x,y,z
1.711197020636767485e+00,-1.188046979565449135e-02,1.310298896572329230e+00
1.701964110058028501e+00,-1.658048086204633176e-02,1.309148115973987503e+00
1.694230148744266362e+00,-2.890238544891343686e-02,1.305838155731589234e+00
1.902943868705059272e+00,4.753731554428655137e-01,1.782291816990843492e+00
1.898279053936884120e+00,4.677245118782846212e-01,1.783503780602756716e+00
1.264807186915869686e+00,-8.207459405658096285e-02,2.026741745513804371e+00
1.892466533247441962e+00,4.516314907526686739e-01,1.783956740951122333e+00
1.889174370202471476e+00,4.461691264673506296e-01,1.784052144231220494e+00
1.886776532919973715e+00,4.403505740740155106e-01,1.783114402824849787e+00
1.882628273619509685e+00,4.345535689609190122e-01,1.784165961129705824e+00
1.879154940070256519e+00,4.294315848133568037e-01,1.783858484317091264e+00
1.875931581883638177e+00,4.251110146844882531e-01,1.783349537754231218e+00
1.870704330583897956e+00,4.217003018287706628e-01,1.783594803634208414e+00
1.597318821336545014e+00,-1.647368969269669137e-02,1.308884796775211079e+00
1.868617159880898937e+00,4.148160510562939884e-01,1.779511917827043099e+00
1.583358731016466070e+00,-1.541623050124718564e-02,1.307115284498204355e+00
1.863290882574083929e+00,4.033570709178156966e-01,1.777493179427651171e+00
1.861550347371539349e+00,4.005242928523002899e-01,1.776423624143645963e+00
2.185270479947855282e+00,4.947300338021736743e-01,1.748836344820539734e+00
2.183393079609125209e+00,4.849677887843225066e-01,1.751270832116361476e+00
2.184482953551535989e+00,4.773168535720807015e-01,1.750332167117145010e+00
2.184900776006414969e+00,4.717604544412155043e-01,1.748540104994394495e+00
2.184299605655489973e+00,4.655179243110268428e-01,1.746837249734374709e+00
2.183956057863724709e+00,4.591104040299248124e-01,1.746095374487238727e+00
2.183082536139504537e+00,4.515631999729445289e-01,1.746224422196189119e+00
2.181430768710830304e+00,4.440593851715131657e-01,1.748167189786383746e+00
2.182550807359514344e+00,4.350067878744265926e-01,1.748599072028490964e+00
2.184013863082874263e+00,4.294866367708995991e-01,1.747340635984390600e+00
2.185445218860960548e+00,4.244803864325666365e-01,1.745924269334975243e+00
2.187102495862483398e+00,4.227851243111040991e-01,1.743215435835368199e+00
2.187578981200710704e+00,4.163459195197432017e-01,1.743073240509727784e+00
2.189308744009778263e+00,4.088601262378520063e-01,1.743279913864609787e+00
2.190510029711034701e+00,4.060122316563150591e-01,1.740615289144231470e+00
2.192237278704137982e+00,4.023077684616574445e-01,1.739315654877780837e+00
2.198284809513395555e+00,4.016906112753945712e-01,1.732745037336347993e+00
2.199103730239014620e+00,3.970551721743389439e-01,1.732616249036848410e+00
2.195810137948518204e+00,3.888470506127920667e-01,1.736376170523537432e+00
2.198337236324142463e+00,3.840838123935387816e-01,1.737071800060435933e+00
2.201022713033876865e+00,3.825589432087233011e-01,1.733427622902273590e+00
2.203100702558534518e+00,3.784009351497220064e-01,1.732600896550474445e+00
2.203904120213872719e+00,3.758467178328344649e-01,1.732048165103782011e+00
2.205935421906584093e+00,3.724494039163079862e-01,1.731501407609099097e+00
2.208226669130052056e+00,3.696478508519963069e-01,1.730081535304523799e+00
2.210193158091598331e+00,3.679230622475018753e-01,1.729406038844249816e+00
2.212189514718536199e+00,3.648574089401930287e-01,1.728417817065418971e+00
2.214259931819853033e+00,3.630205862115811755e-01,1.727291592609408122e+00
2.216664560404280948e+00,3.599054033092720650e-01,1.726286409210179729e+00
2.218607332049669978e+00,3.578123622720246200e-01,1.725790790477721437e+00
2.220174410352251382e+00,3.557994651698968558e-01,1.724819056551019747e+00
2.222163592392401466e+00,3.537642575723554117e-01,1.723725702155721962e+00
2.224150310545728981e+00,3.513968379944480969e-01,1.722536401233979220e+00
2.226150941604670752e+00,3.496325830833228454e-01,1.720968654399472442e+00
2.229191141668029008e+00,3.472505176522005521e-01,1.719592773079352099e+00
2.233036665174430002e+00,3.450780247695483527e-01,1.718082486235177120e+00
2.236633130672366132e+00,3.428117971226571359e-01,1.716700129794390683e+00
2.238942231260407478e+00,3.420894905603593106e-01,1.715861775317908622e+00
2.242665548624101390e+00,3.409769730940829802e-01,1.714321746692358595e+00
2.246579364314997829e+00,3.392295270693985176e-01,1.712898542418946901e+00
2.249076662473567634e+00,3.372398405895429274e-01,1.712493661967115832e+00
2.252109276100954904e+00,3.361320379939266023e-01,1.711172203628952948e+00
2.256042080262929961e+00,3.343865121197888701e-01,1.709298401807224588e+00
2.259422981459583646e+00,3.347659357340376229e-01,1.707416800971290227e+00
2.263104908339558019e+00,3.331189953346557764e-01,1.705440186893800059e+00
2.266346326131532862e+00,3.319155466793803355e-01,1.705451232302342746e+00
2.275125167618693212e+00,3.292496703631893618e-01,1.702471089884211253e+00
2.277019448776950838e+00,3.282104641650196442e-01,1.703848469922139897e+00
2.272396199072900469e+00,3.248658654071983620e-01,1.702026839903552746e+00
2.270358559580892166e+00,3.218150895795370281e-01,1.702872244150729353e+00
2.276145212429662834e+00,3.156151262421896253e-01,1.702355006468295961e+00
2.284024393994654289e+00,3.122105103616919508e-01,1.703105137006886594e+00
2.285084611338698224e+00,3.073851648052350893e-01,1.702131006724505680e+00
2.286984787451401768e+00,3.034108303468983636e-01,1.701066111386948521e+00
2.289442932115201668e+00,3.013366038048765905e-01,1.699091246500514352e+00
2.292527475441863860e+00,3.000994076185976578e-01,1.698100511584928141e+00
2.288108226851027993e+00,3.012554318731865410e-01,1.697912483087874902e+00
2.286192941953216984e+00,3.012261896281044904e-01,1.696185982854224505e+00
2.282839772184706462e+00,2.993084706923275218e-01,1.694972995224240719e+00
2.282177758286633384e+00,2.971525606062959679e-01,1.693337698563258220e+00
2.282091622900189520e+00,2.941045803373281142e-01,1.690313594870832103e+00
2.282713433463456898e+00,2.919093991442772151e-01,1.687809773856280948e+00
2.283829082297258228e+00,2.901787884030399556e-01,1.686430419785852175e+00
2.285442590362141591e+00,2.884425291972932404e-01,1.685061403645936151e+00
2.286445737026496783e+00,2.863197149100568661e-01,1.683284492495549678e+00
2.288393083244107284e+00,2.842327615631923265e-01,1.681907349778144045e+00
2.290098955715869966e+00,2.826991924118338884e-01,1.680305785948502217e+00
2.293583106917929548e+00,2.799821549049943403e-01,1.678152881454567202e+00
2.296090870850445498e+00,2.785840586580139999e-01,1.676561470519823294e+00
2.298642990081225079e+00,2.759842406454811048e-01,1.675003613542840997e+00
2.302523238180440135e+00,2.737481443197764541e-01,1.673500816320963480e+00
2.306243613269602921e+00,2.712661031716891435e-01,1.672336523921540419e+00
2.310028648760480419e+00,2.697889231505058993e-01,1.670489790032573696e+00
2.314144956111106932e+00,2.667455806690854359e-01,1.669144493753730751e+00
2.318026371294255483e+00,2.639333875748016145e-01,1.667335428207523229e+00
2.325293281524948075e+00,2.573072872982143933e-01,1.671626712132098014e+00
2.327956282511169928e+00,2.579106170757970440e-01,1.664506303739258897e+00
2.341191854135848072e+00,2.549847696565453736e-01,1.656180249130021709e+00
2.347432322208125921e+00,2.489164017299302090e-01,1.658265795121958375e+00
2.352416851747519910e+00,2.452063067127889795e-01,1.657270401097141743e+00
2.351388462047550476e+00,2.397338655215506265e-01,1.659337349509946824e+00
2.355334967134055990e+00,2.366961714906975212e-01,1.658311441012957133e+00
2.359912398721721871e+00,2.323373272155866698e-01,1.657737902687573595e+00
2.366021379601507046e+00,2.303501769093511120e-01,1.654586490893363404e+00
